collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-25T08:16:06.217598+00:00,top_selling,1,EA SPORTS FC™ 27,4080220,$69.99,▲ 25,up,9,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,2,Apex Legends™,1172470,免费开玩,0,,306,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,3,PUBG: BATTLEGROUNDS,578080,免费开玩,▼ 2,down,496,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,4,王国保卫战 6：新启程,4259190,-10%$19.99$17.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,5,Counter-Strike 2,730,免费开玩,▲ 1,up,737,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,6,控制: 共振,3669870,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,7,全面战争：战锤3,1142710,$59.99,▲ 80,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,8,Ori and the Will of the Wisps,1057090,-90%$29.99$2.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,9,WARDOGS,1867240,$39.99,▼ 6,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,10,Warframe 星际战甲,230410,免费开玩,▲ 3,up,534,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,11,渔力全开,4001890,$7.99,▼ 7,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,12,三角洲行动,2507950,免费开玩,▼ 5,down,94,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,13,《NBA 2K27》,4356430,$69.99,▼ 8,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,14,影之刃零,4115450,$59.99,▼ 4,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,15,The Last of Us™ Part II Remastered,2531310,-33%$49.99$33.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,16,女神异闻录３ Reload,2161700,-70%$59.99$17.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,17,The Last of Us™ Part I,1888930,-50%$59.99$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,18,Limbus Company,1973530,免费开玩,▲ 40,up,38,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,19,天国：拯救2,1771300,-60%$59.99$23.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,20,双影奇境,2001120,-35%$49.99$32.49,▲ 39,up,85,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,21,DARK SOULS™ III,374320,-50%$59.99$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,22,针影裁梦,4019220,-10%$14.99$13.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,23,Wallpaper Engine：壁纸引擎,431960,$4.99,▼ 8,down,511,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,24,双人成行,1426210,-70%$39.99$11.99,▲ 75,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,25,女神异闻录5皇家版,1687950,-70%$59.99$17.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,26,猛兽派对,1260320,-50%$19.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,27,雀魂麻将（在您的地区不可用）,1329410,,▲ 38,up,26,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,28,不问凡尘（在您的地区不可用）,4209920,,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,29,Watch_Dogs® 2,447040,-95%$49.99$2.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,30,空战奇兵8 希孚之翼 (ACE COMBAT 8: WINGS OF THEVE),2288340,$69.99,▲ 33,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,31,鬼武者 Way of the Sword,2638890,$69.99,▼ 23,down,7,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-25T08:16:06.217598+00:00,top_selling,32,Kingdom Rush - Tower Defense,246420,-90%$9.99$0.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
