collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-14T08:17:12.911242+00:00,top_selling,1,PUBG: BATTLEGROUNDS,578080,免费开玩,▲ 4,up,494,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,2,Apex Legends™,1172470,免费开玩,0,,304,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,3,WARDOGS,1867240,$39.99,▲ 32,up,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,4,渔力全开,4001890,$7.99,▼ 3,down,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,5,Counter-Strike 2,730,免费开玩,▲ 3,up,735,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,6,三角洲行动,2507950,免费开玩,▲ 13,up,92,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,7,《NBA 2K27》,4356430,$69.99,▼ 4,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,8,影之刃零,4115450,$59.99,▼ 2,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,9,Grand Theft Auto V 增强版,3240220,-50%$29.99$14.99,▲ 4,up,59,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,10,朋友，梭哈吧,3892270,-38%$7.99$4.95,▲ 12,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,11,鬼武者 Way of the Sword,2638890,$69.99,▼ 1,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,12,Wallpaper Engine：壁纸引擎,431960,$4.99,▲ 3,up,509,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,13,Warframe 星际战甲,230410,免费开玩,▲ 7,up,532,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,14,《暗黑破坏神® IV》,2344520,-75%$49.99$12.49,▲ 83,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,15,"Warhammer 40,000: 星际战士2",2183900,-75%$59.99$14.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,16,战地风云™ 6,2807960,$69.99,▲ 24,up,58,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,17,EA SPORTS FC™ 27,4080220,$69.99,▼ 3,down,7,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,18,Dota 2,570,免费开玩,▼ 7,down,24,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,19,No Man's Sky 无人深空,275850,-60%$59.99$23.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,20,《守望先锋®》,2357570,免费开玩,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,21,机械狂欢,4108000,-20%$7.99$6.39,▲ 10,up,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,22,无主之地®4,1285190,-50%$69.99$34.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,23,Big Walk,1478500,$19.99,▲ 3,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,24,Resident Evil 4,2050650,-75%$39.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,25,Ready or Not,1144200,-50%$49.99$24.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,26,BOMBANANA!,4656000,$7.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,27,Monster Hunter Wilds,2246340,-25%$39.99$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,28,Resident Evil Requiem,3764200,-30%$69.99$48.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,29,三国志14,872410,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,30,极限竞速：地平线 6,2483190,$69.99,▼ 23,down,33,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,31,Stardew Valley,413150,$14.99,▲ 2,up,149,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,32,Escape the Backrooms,1943950,-20%$9.99$7.99,▲ 25,up,17,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,33,Slay the Spire 2,2868840,$24.99,▲ 3,up,27,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,34,午夜轮班,3722330,$9.99,▼ 11,down,7,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,35,Escape from Tarkov,3932890,$49.99,▼ 6,down,17,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,36,The Blood of Dawnwalker 黎明行者之血,3751260,$69.99,▲ 30,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,37,永劫无间,1203220,免费开玩,▲ 10,up,265,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,38,猎杀：对决 1896,594650,-60%$29.99$11.99,▲ 41,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,39,Bodycam,2406770,$33.32,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,40,R.E.P.O.,3241660,-35%$9.99$6.49,▲ 22,up,40,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,41,World of Warships,552990,免费开玩,▲ 32,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,42,Monster Hunter: World,582010,-74%$29.99$7.79,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,43,Valheim: 英灵神殿,892970,$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,44,黎明杀机,381210,$19.99,▼ 28,down,228,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,45,艾尔登法环,1245620,$59.99,▼ 21,down,9,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,46,Dead Cells,588650,-50%$24.99$12.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,47,DEATH STRANDING DIRECTOR'S CUT,1850570,-75%$39.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,48,Street Fighter 6,1364780,$39.99,▲ 3,up,70,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,49,逸剑风云决,1876890,-30%$24.99$17.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,50,Sid Meier’s Civilization® VI,289070,-90%$59.99$5.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,51,幻世录 重制版,4030150,-10%$24.99$22.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,52,Limbus Company,1973530,免费开玩,▲ 7,up,36,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,53,EA Play,1289670,$5.99,▲ 12,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,54,007 初露锋芒,3768760,-20%$69.99$55.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,55,红色沙漠：增强版,3321460,$69.99,▼ 43,down,8,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,56,东方红魔乡：新典 ～ the Embodiment of Scarlet Devil.,4659620,$17.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,57,黑神话：悟空,2358720,$59.99,▼ 30,down,24,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,58,《猎人：荒野的召唤™》,518790,-85%$19.99$2.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,59,原子之心,668580,-80%$59.99$11.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,60,Yu-Gi-Oh! Master Duel,1449850,免费开玩,▼ 7,down,9,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,61,空战奇兵8 希孚之翼 (ACE COMBAT 8: WINGS OF THEVE),2288340,$69.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,62,MONSTER HUNTER RISE,1446780,-80%$39.99$7.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,63,我们到了吗？,3949040,-40%$7.99$4.79,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,64,三国志14 威力加强传承版（在您的地区不可用）,4508240,,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,65,PRAGMATA,3357650,-20%$59.99$47.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,66,F1® 25,3059520,-30%$49.99$34.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,67,狙击精英5,1029690,-90%$49.99$4.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,68,恶月十三,1549250,免费开玩,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,69,编程农场,2060160,-20%$9.99$7.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-14T08:17:12.911242+00:00,top_selling,70,欢迎来到古原镇,3195440,-10%$17.99$16.19,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
