collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-15T08:18:02.104312+00:00,top_selling,1,Apex Legends™,1172470,免费开玩,▲ 1,up,304,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,2,PUBG: BATTLEGROUNDS,578080,免费开玩,▲ 3,up,494,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,3,WARDOGS,1867240,$39.99,▲ 32,up,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,4,博德之门3,1086940,-30%$59.99$41.99,▲ 70,up,40,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,5,三角洲行动,2507950,免费开玩,▲ 14,up,92,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,6,渔力全开,4001890,$7.99,▼ 5,down,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,7,《NBA 2K27》,4356430,$69.99,▼ 4,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,8,Counter-Strike 2,730,免费开玩,0,,735,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,9,EA SPORTS FC™ 27,4080220,$69.99,▲ 5,up,7,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,10,Grand Theft Auto V 增强版,3240220,-50%$29.99$14.99,▲ 3,up,59,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,11,影之刃零,4115450,$59.99,▼ 5,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,12,双影奇境,2001120,-35%$49.99$32.49,▲ 56,up,83,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,13,鬼武者 Way of the Sword,2638890,$69.99,▼ 3,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,14,Warframe 星际战甲,230410,免费开玩,▲ 6,up,532,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,15,朋友，梭哈吧,3892270,$7.99,▲ 7,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,16,Wallpaper Engine：壁纸引擎,431960,$4.99,▼ 1,down,509,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,17,《暗黑破坏神® IV》,2344520,-75%$49.99$12.49,▲ 80,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,18,Dota 2,570,免费开玩,▼ 7,down,24,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,19,双人成行,1426210,-70%$39.99$11.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,20,Big Walk,1478500,$19.99,▲ 6,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,21,"Warhammer 40,000: 星际战士2",2183900,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,22,无主之地®4,1285190,-50%$69.99$34.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,23,空之轨迹 the 1st,3447040,-50%$59.99$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,24,机械狂欢,4108000,-20%$7.99$6.39,▲ 7,up,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,25,No Man's Sky 无人深空,275850,-60%$59.99$23.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,26,极限竞速：地平线 6,2483190,$69.99,▼ 19,down,33,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,27,Monster Hunter Wilds,2246340,-25%$39.99$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,28,Resident Evil Requiem,3764200,-30%$69.99$48.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,29,Resident Evil 4,2050650,-75%$39.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,30,Ready or Not,1144200,-50%$49.99$24.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,31,人类一败涂地 / Human Fall Flat,477160,-70%$19.99$5.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,32,BOMBANANA!,4656000,$7.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,33,空战奇兵8 希孚之翼 (ACE COMBAT 8: WINGS OF THEVE),2288340,$69.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,34,边缘世界 RimWorld,294100,-20%$34.99$27.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,35,神界：原罪2 - 终极版,435150,-82%$59.48$10.66,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,36,公会创世纪,3947460,-48%$16.18$8.35,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,37,Stardew Valley,413150,$14.99,▼ 4,down,149,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,38,DJMAX RESPECT V,960170,-80%$49.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,39,永劫无间,1203220,免费开玩,▲ 8,up,265,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,40,Sea of Thieves: 2026 Edition,1172620,-65%$39.99$13.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,41,Slay the Spire 2,2868840,$24.99,▼ 5,down,27,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,42,《守望先锋®》,2357570,免费开玩,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,43,三国志14,872410,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,44,Escape the Backrooms,1943950,-20%$9.99$7.99,▲ 13,up,17,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,45,R.E.P.O.,3241660,-35%$9.99$6.49,▲ 17,up,40,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,46,喵喵的结合,686060,-25%$29.99$22.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,47,Escape from Tarkov,3932890,$49.99,▼ 18,down,17,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,48,红色沙漠：增强版,3321460,$69.99,▼ 36,down,8,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,49,Monster Hunter: World,582010,-74%$29.99$7.79,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,50,Valheim: 英灵神殿,892970,$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,51,午夜轮班,3722330,$9.99,▼ 28,down,7,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,52,Bodycam,2406770,$33.32,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-15T08:18:02.104312+00:00,top_selling,53,猎杀：对决 1896,594650,-60%$29.99$11.99,▲ 26,up,3,,,,https://store.steampowered.com/charts/topselling/CN
