collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-24T08:17:01.833935+00:00,top_selling,1,Apex Legends™,1172470,免费开玩,▲ 1,up,306,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,2,PUBG: BATTLEGROUNDS,578080,免费开玩,▼ 1,down,496,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,3,EA SPORTS FC™ 27,4080220,$69.99,▲ 23,up,9,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,4,Counter-Strike 2,730,免费开玩,▲ 2,up,737,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,5,Warframe 星际战甲,230410,免费开玩,▲ 8,up,534,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,6,控制: 共振,3669870,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,7,雀魂麻将（在您的地区不可用）,1329410,,▲ 58,up,26,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,8,WARDOGS,1867240,$39.99,▼ 5,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,9,《NBA 2K27》,4356430,$69.99,▼ 4,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,10,守墓人2,4358690,-36%$35.98$23.18,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,11,黎明门前的吹笛人,3804370,-10%$12.99$11.69,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,12,Limbus Company,1973530,免费开玩,▲ 46,up,38,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,13,影之刃零,4115450,$59.99,▼ 3,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,14,三角洲行动,2507950,免费开玩,▼ 7,down,94,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,15,全面战争：战锤3,1142710,$59.99,▲ 72,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-24T08:17:01.833935+00:00,top_selling,16,针影裁梦,4019220,-10%$14.99$13.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
