collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-12T08:15:07.943581+00:00,top_selling,1,PUBG: BATTLEGROUNDS,578080,免费开玩,▲ 4,up,494,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,2,Apex Legends™,1172470,免费开玩,0,,304,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,3,WARDOGS,1867240,$39.99,▲ 32,up,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,4,渔力全开,4001890,$7.99,▼ 3,down,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,5,《NBA 2K27》,4356430,$69.99,▼ 2,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,6,Counter-Strike 2,730,免费开玩,▲ 2,up,735,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,7,三角洲行动,2507950,免费开玩,▲ 12,up,92,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,8,鬼武者 Way of the Sword,2638890,$69.99,▲ 2,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,9,Grand Theft Auto V 增强版,3240220,-50%$29.99$14.99,▲ 4,up,59,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,10,影之刃零,4115450,$59.99,▼ 4,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,11,朋友，梭哈吧,3892270,-38%$7.99$4.95,▲ 11,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,12,No Man's Sky 无人深空,275850,-60%$59.99$23.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,13,《暗黑破坏神® IV》,2344520,-75%$49.99$12.49,▲ 84,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,14,Wallpaper Engine：壁纸引擎,431960,$4.99,▲ 1,up,509,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,15,Warframe 星际战甲,230410,免费开玩,▲ 5,up,532,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,16,EA SPORTS FC™ 27,4080220,$69.99,▼ 2,down,7,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,17,"Warhammer 40,000: 星际战士2",2183900,-75%$59.99$14.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,18,Dota 2,570,免费开玩,▼ 7,down,24,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,19,战地风云™ 6,2807960,-50%$69.99$34.99,▲ 21,up,58,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,20,Resident Evil 4,2050650,-75%$39.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,21,幻世录 重制版,4030150,-10%$24.99$22.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,22,BOMBANANA!,4656000,$7.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,23,极限竞速：地平线 6,2483190,$69.99,▼ 16,down,33,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,24,三国志14,872410,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,25,漫威争锋,2767030,免费开玩,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,26,Ready or Not,1144200,-50%$49.99$24.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,27,Resident Evil Requiem,3764200,-30%$69.99$48.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,28,东方红魔乡：新典 ～ the Embodiment of Scarlet Devil.,4659620,$17.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,29,午夜轮班,3722330,$9.99,▼ 6,down,7,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,30,World of Warships,552990,免费开玩,▲ 43,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,31,无主之地®4,1285190,-50%$69.99$34.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,32,The Blood of Dawnwalker 黎明行者之血,3751260,$69.99,▲ 34,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,33,DEATH STRANDING DIRECTOR'S CUT,1850570,-75%$39.99$9.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,34,猎杀：对决 1896,594650,-60%$29.99$11.99,▲ 45,up,3,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,35,Monster Hunter Wilds,2246340,-25%$39.99$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,36,Bodycam,2406770,$33.32,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,37,Escape from Tarkov,3932890,$49.99,▼ 8,down,17,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,38,Valheim: 英灵神殿,892970,$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,39,Big Walk,1478500,$19.99,▼ 13,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,40,机械狂欢,4108000,$7.99,▼ 9,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,41,Slay the Spire 2,2868840,$24.99,▼ 5,down,27,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,42,永劫无间,1203220,免费开玩,▲ 5,up,265,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,43,艾尔登法环,1245620,$59.99,▼ 19,down,9,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,44,Stardew Valley,413150,$14.99,▼ 11,down,149,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,45,R.E.P.O.,3241660,-35%$9.99$6.49,▲ 17,up,40,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,46,吞吞堡垒 Wanderburg,3624140,-35%$14.99$9.74,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,47,席德·梅尔的文明VII,1295660,-50%$69.99$34.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-12T08:15:07.943581+00:00,top_selling,48,Monster Hunter: World,582010,-74%$29.99$7.79,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
