collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-17T08:17:43.535526+00:00,top_selling,1,空之轨迹 the 2nd,4225980,-10%$59.99$53.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,2,Apex Legends™,1172470,免费开玩,▼ 1,down,305,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,3,Limbus Company,1973530,免费开玩,▲ 59,up,37,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,4,PUBG: BATTLEGROUNDS,578080,免费开玩,▲ 2,up,495,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,5,WARDOGS,1867240,$39.99,▲ 6,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,6,Counter-Strike 2,730,免费开玩,▲ 1,up,736,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,7,EA SPORTS FC™ 27,4080220,$69.99,▲ 41,up,8,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,8,博德之门3,1086940,-30%$59.99$41.99,▲ 80,up,41,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,9,《暗黑破坏神® IV》,2344520,-75%$49.99$12.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,10,三角洲行动,2507950,免费开玩,▼ 5,down,93,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,11,《NBA 2K27》,4356430,$69.99,▼ 8,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,12,影之刃零,4115450,$59.99,▼ 4,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,13,渔力全开,4001890,$7.99,▼ 9,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,14,Grand Theft Auto V 增强版,3240220,-50%$29.99$14.99,▲ 5,up,60,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,15,双影奇境,2001120,-35%$49.99$32.49,▲ 72,up,84,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,16,Cities: Skylines II 都市：天际线2,949230,-30%$49.99$34.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,17,永劫无间,1203220,免费开玩,▼ 5,down,266,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,18,Wallpaper Engine：壁纸引擎,431960,$4.99,▲ 5,up,510,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,19,Warframe 星际战甲,230410,免费开玩,▲ 1,up,533,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,20,双人成行,1426210,-70%$39.99$11.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,21,Dota 2,570,免费开玩,▼ 4,down,25,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-17T08:17:43.535526+00:00,top_selling,22,鬼武者 Way of the Sword,2638890,$69.99,▼ 20,down,6,,,,https://store.steampowered.com/charts/topselling/CN
