collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-23T08:16:14.054005+00:00,top_selling,1,Apex Legends™,1172470,免费开玩,▲ 1,up,306,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,2,PUBG: BATTLEGROUNDS,578080,免费开玩,▼ 1,down,496,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,3,Counter-Strike 2,730,免费开玩,▲ 3,up,737,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,4,EA SPORTS FC™ 27,4080220,$69.99,▲ 22,up,9,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,5,黎明门前的吹笛人,3804370,-10%$12.99$11.69,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,6,WARDOGS,1867240,$39.99,▼ 3,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,7,雀魂麻将（在您的地区不可用）,1329410,,▲ 58,up,26,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,8,守墓人2,4358690,-36%$35.98$23.18,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,9,控制: 共振,3669870,$59.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,10,《NBA 2K27》,4356430,$69.99,▼ 5,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,11,影之刃零,4115450,$59.99,▼ 1,down,6,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,12,针影裁梦,4019220,-10%$14.99$13.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-23T08:16:14.054005+00:00,top_selling,13,三角洲行动,2507950,免费开玩,▼ 6,down,94,,,,https://store.steampowered.com/charts/topselling/CN
