collected_at,chart_type,rank,name,app_id,price,rank_change,rank_change_direction,extra_value,current_players,peak_players,last_week_rank,source_url
2026-09-18T08:16:03.512323+00:00,top_selling,1,PUBG: BATTLEGROUNDS,578080,免费开玩,▲ 5,up,495,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,2,空之轨迹 the 2nd,4225980,-10%$59.99$53.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,3,Apex Legends™,1172470,免费开玩,▼ 2,down,305,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,4,EA SPORTS FC™ 27,4080220,$69.99,▲ 44,up,8,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,5,Limbus Company,1973530,免费开玩,▲ 57,up,37,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,6,WARDOGS,1867240,$39.99,▲ 5,up,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,7,Counter-Strike 2,730,免费开玩,0,,736,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,8,博德之门3,1086940,-30%$59.99$41.99,▲ 80,up,41,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,9,使命召唤®,1938090,,▲ 73,up,2,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,10,《使命召唤®：黑色行动 7》黑色组织（第6赛季）,4200780,$29.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,11,三角洲行动,2507950,免费开玩,▼ 6,down,93,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,12,《NBA 2K27》,4356430,$69.99,▼ 9,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,13,影之刃零,4115450,$59.99,▼ 5,down,5,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,14,渔力全开,4001890,$7.99,▼ 10,down,4,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,15,Grand Theft Auto V 增强版,3240220,-50%$29.99$14.99,▲ 4,up,60,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,16,《暗黑破坏神® IV》,2344520,-75%$49.99$12.49,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,17,双影奇境,2001120,-35%$49.99$32.49,▲ 70,up,84,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,18,Warframe 星际战甲,230410,免费开玩,▲ 2,up,533,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,19,永劫无间,1203220,免费开玩,▼ 7,down,266,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,20,Wallpaper Engine：壁纸引擎,431960,$4.99,▲ 3,up,510,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,21,Far Cry® 6,2369390,-90%$59.99$5.99,新上榜,down,1,,,,https://store.steampowered.com/charts/topselling/CN
2026-09-18T08:16:03.512323+00:00,top_selling,22,Dota 2,570,免费开玩,▼ 5,down,25,,,,https://store.steampowered.com/charts/topselling/CN
